topic,country_display,documents,topic_total,share_within_topic,keywords,topic_label
0,australia,144,385,0.37402597402597404,"submission, public, research, sector, people, principle, unesco, recommendation, large, open, investment, company",AI Curriculum Integration and Oversight
0,france,102,385,0.2649350649350649,"submission, public, research, sector, people, principle, unesco, recommendation, large, open, investment, company",AI Curriculum Integration and Oversight
0,ireland,82,385,0.21298701298701297,"submission, public, research, sector, people, principle, unesco, recommendation, large, open, investment, company",AI Curriculum Integration and Oversight
0,usa,40,385,0.1038961038961039,"submission, public, research, sector, people, principle, unesco, recommendation, large, open, investment, company",AI Curriculum Integration and Oversight
0,International / UNESCO,17,385,0.04415584415584416,"submission, public, research, sector, people, principle, unesco, recommendation, large, open, investment, company",AI Curriculum Integration and Oversight
1,usa,261,330,0.7909090909090909,"educator, instructional, focus, feedback, literacy, equity, help, learner, guidance, step, leader, equitable",AI-Assisted Instructional Policies
1,australia,53,330,0.1606060606060606,"educator, instructional, focus, feedback, literacy, equity, help, learner, guidance, step, leader, equitable",AI-Assisted Instructional Policies
1,france,8,330,0.024242424242424242,"educator, instructional, focus, feedback, literacy, equity, help, learner, guidance, step, leader, equitable",AI-Assisted Instructional Policies
1,ireland,8,330,0.024242424242424242,"educator, instructional, focus, feedback, literacy, equity, help, learner, guidance, step, leader, equitable",AI-Assisted Instructional Policies
2,australia,104,252,0.4126984126984127,"staff, privacy, academic, integrity, responsible, content, security, personal, bias, assessment, guideline, plagiarism",Educational AI Usage Policies
2,usa,92,252,0.36507936507936506,"staff, privacy, academic, integrity, responsible, content, security, personal, bias, assessment, guideline, plagiarism",Educational AI Usage Policies
2,ireland,49,252,0.19444444444444445,"staff, privacy, academic, integrity, responsible, content, security, personal, bias, assessment, guideline, plagiarism",Educational AI Usage Policies
2,International / UNESCO,6,252,0.023809523809523808,"staff, privacy, academic, integrity, responsible, content, security, personal, bias, assessment, guideline, plagiarism",Educational AI Usage Policies
2,france,1,252,0.003968253968253968,"staff, privacy, academic, integrity, responsible, content, security, personal, bias, assessment, guideline, plagiarism",Educational AI Usage Policies
3,france,210,210,1.0,"usage, outils, cadre, données, pédagogique, numérique, pédagogiques, établissements, utilisation, déploiement, enjeux, académique",AI in School Curriculum and Teacher Training
4,International / UNESCO,189,198,0.9545454545454546,"competency, design, knowledge, progression, skill, ethic, expect, ethical, mindset, social, aspect, pedagogical",Competency-Based Education and Assessment
4,australia,4,198,0.020202020202020204,"competency, design, knowledge, progression, skill, ethic, expect, ethical, mindset, social, aspect, pedagogical",Competency-Based Education and Assessment
4,france,3,198,0.015151515151515152,"competency, design, knowledge, progression, skill, ethic, expect, ethical, mindset, social, aspect, pedagogical",Competency-Based Education and Assessment
4,ireland,1,198,0.005050505050505051,"competency, design, knowledge, progression, skill, ethic, expect, ethical, mindset, social, aspect, pedagogical",Competency-Based Education and Assessment
4,usa,1,198,0.005050505050505051,"competency, design, knowledge, progression, skill, ethic, expect, ethical, mindset, social, aspect, pedagogical",Competency-Based Education and Assessment
5,ireland,140,170,0.8235294117647058,"child, sexual, recommender, abuse, convention, council, act, protection, parent, unicef, safety, youth",AI Child Protection and Rights Oversight
5,usa,14,170,0.08235294117647059,"child, sexual, recommender, abuse, convention, council, act, protection, parent, unicef, safety, youth",AI Child Protection and Rights Oversight
5,australia,13,170,0.07647058823529412,"child, sexual, recommender, abuse, convention, council, act, protection, parent, unicef, safety, youth",AI Child Protection and Rights Oversight
5,International / UNESCO,2,170,0.011764705882352941,"child, sexual, recommender, abuse, convention, council, act, protection, parent, unicef, safety, youth",AI Child Protection and Rights Oversight
5,france,1,170,0.0058823529411764705,"child, sexual, recommender, abuse, convention, council, act, protection, parent, unicef, safety, youth",AI Child Protection and Rights Oversight
6,ireland,135,143,0.9440559440559441,"strategy, learner, progress, competence, pillar, leader, infrastructure, procurement, skill, professional, assessment, pdst",Digital Learning Progression Framework
6,australia,4,143,0.027972027972027972,"strategy, learner, progress, competence, pillar, leader, infrastructure, procurement, skill, professional, assessment, pdst",Digital Learning Progression Framework
6,International / UNESCO,3,143,0.02097902097902098,"strategy, learner, progress, competence, pillar, leader, infrastructure, procurement, skill, professional, assessment, pdst",Digital Learning Progression Framework
6,france,1,143,0.006993006993006993,"strategy, learner, progress, competence, pillar, leader, infrastructure, procurement, skill, professional, assessment, pdst",Digital Learning Progression Framework
7,usa,124,128,0.96875,"elementary, math, english, achievement, write, think, disadvantage, high, thing, regression, socioeconomic, know",AI in Education and Student Achievement
7,australia,2,128,0.015625,"elementary, math, english, achievement, write, think, disadvantage, high, thing, regression, socioeconomic, know",AI in Education and Student Achievement
7,ireland,2,128,0.015625,"elementary, math, english, achievement, write, think, disadvantage, high, thing, regression, socioeconomic, know",AI in Education and Student Achievement
8,australia,72,72,1.0,"cognitive, offload, load, metacognitive, memory, critical, paradox, performance, study, detrimental, thinking, outsource",AI Offloading and Metacognitive Skills in Education
