Student_ID,Age,Study_Hours_per_Week,Online_Courses_Completed,Assignment_Completion_Rate,Exam_Score,Attendance_Rate,Sleep_Hours_per_Night,Parental_Income,Extracurricular_Activities,Commute_Time,Part_Time_Job_Hours,Time_Spent_on_Social_Media,Gender,Preferred_Learning_Style,Participation_in_Discussions,Use_of_Educational_Tech,Peer_Study_Group,Self_Reported_Stress_Level,Parental_Education,Health_Metrics,Final_Grade,Letter_Grade,AtRisk
S00001,21,27.3,12.46,85.63,75.44,96.87,8.4,101443.94,18.46,66.2,1.3,1.64,Male,Visual,Yes,Yes,True,Low,Associate_Degree,Excellent,92.82,A-,No
S00002,21,26.4,11.61,71.36,67.62,82.24,6.1,85507.51,14.75,78.3,22.2,4.13,Female,Visual,No,Yes,True,Medium,Some_College_No_Degree,Average,79.64,C+,Yes
S00003,24,22.6,10.0,77.83,71.6,82.07,5.8,119311.59,13.84,117.5,15.3,4.66,Male,Reading/Writing,Yes,Yes,False,Medium,Associate_Degree,Poor,85.11,B,No
S00004,21,22.5,11.91,78.24,78.47,90.93,9.2,138791.86,21.81,59.0,6.5,2.19,Female,Reading/Writing,Yes,Yes,False,Medium,Bachelors_Degree,Excellent,94.1,A,No
S00005,22,27.5,6.98,81.89,62.89,83.31,8.2,59680.8,11.76,120.9,12.4,2.43,Male,Visual,Yes,Yes,True,Low,High_School_Diploma,Excellent,76.17,C,Yes
S00006,27,11.3,2.93,66.58,63.12,63.47,6.5,77260.63,14.74,128.1,20.3,4.13,Male,Auditory,No,Yes,False,Medium,Some_College_No_Degree,Average,70.86,C-,Yes
S00007,24,12.2,4.22,65.38,64.54,79.82,7.1,75601.43,16.36,117.7,16.9,4.29,Female,Auditory,No,Yes,False,High,Some_College_No_Degree,Average,77.54,C+,Yes
S00008,18,28.6,13.03,67.15,64.01,75.38,9.6,53892.39,14.77,54.0,5.9,2.46,Female,Visual,No,Yes,False,High,High_School_Diploma,Excellent,81.49,B-,Yes
S00009,20,22.5,10.67,64.24,63.1,68.16,7.2,101629.42,16.6,153.2,7.5,5.35,Female,Reading/Writing,No,Yes,False,High,Associate_Degree,Average,77.89,C+,Yes
S00010,20,27.2,4.63,74.64,63.21,75.86,8.2,63063.93,13.15,96.0,7.1,2.77,Female,Visual,No,Yes,False,Medium,High_School_Diploma,Excellent,81.62,B-,Yes
S00011,21,23.7,11.69,74.89,63.35,78.96,6.3,56166.25,13.57,86.1,11.6,3.85,Male,Reading/Writing,No,Yes,False,Medium,High_School_Diploma,Average,79.29,C+,Yes
S00012,22,22.9,10.68,66.96,77.29,80.77,8.0,92782.32,17.92,68.1,11.5,4.66,Female,Reading/Writing,No,Yes,False,High,Some_College_No_Degree,Average,84.49,B,No
S00013,24,26.2,10.09,83.12,71.82,81.9,8.0,149594.09,14.81,128.1,11.5,3.34,Male,Visual,Yes,Yes,True,Low,Bachelors_Degree,Average,89.16,B+,No
